Эребуни, 2 ком., 39 кв.м., 6/9 этаж	2	200000	39	https://www.list.am/ru/item/18852315
Эребуни, 1 ком., 60 кв.м., 1/4 этаж	1	130000	60	https://www.list.am/ru/item/19165495
Эребуни, 1 ком., 30 кв.м., 2/3 этаж	1	120000	30	https://www.list.am/ru/item/19135096
Эребуни, 2 ком., 40 кв.м., 1/1 этаж	2	140000	40	https://www.list.am/ru/item/19223147
Эребуни, 2 ком., 72 кв.м., 11/14 этаж	2	300000	72	https://www.list.am/ru/item/18177922
Эребуни, 3 ком., 42 кв.м., 1/1 этаж	3	250000	42	https://www.list.am/ru/item/18375828
Эребуни, 3 ком., 63 кв.м., 2/5 этаж	3	250000	63	https://www.list.am/ru/item/18812207
Эребуни, 3 ком., 95 кв.м., 5/5 этаж	3	260000	95	https://www.list.am/ru/item/18939478
Эребуни, 3 ком., 75 кв.м., 4/5 этаж	3	240000	75	https://www.list.am/ru/item/18827671
Эребуни, 2 ком., 46 кв.м., 8/9 этаж	2	180000	46	https://www.list.am/ru/item/19163913
Эребуни, 3 ком., 57 кв.м., 3/9 этаж	3	200000	57	https://www.list.am/ru/item/19186204
Эребуни, 3 ком., 80 кв.м., 1/2 этаж	3	250000	80	https://www.list.am/ru/item/19121394
Эребуни, 4 ком., 140 кв.м., 2/2 этаж	4	271600	140	https://www.list.am/ru/item/18404118
Эребуни, 4 ком., 110 кв.м., 5/5 этаж	4	300000	110	https://www.list.am/ru/item/19148792
Эребуни, 3 ком., 75 кв.м., 4/5 этаж	3	260000	75	https://www.list.am/ru/item/18827635
Эребуни, 1 ком., 34 кв.м., 1/5 этаж	1	160000	34	https://www.list.am/ru/item/18804529
Эребуни, 3 ком., 70 кв.м., 2/2 этаж	3	400000	70	https://www.list.am/ru/item/19177223
Эребуни, 8 ком., 400 кв.м., 3/3 этаж	8	150000	400	https://www.list.am/ru/item/18884288
Эребуни, 2 ком., 65 кв.м., 2/5 этаж	2	300000	65	https://www.list.am/ru/item/19106481
Эребуни, 2 ком., 64 кв.м., 8/9 этаж	2	250000	64	https://www.list.am/ru/item/18949146
Эребуни, 4 ком., 62 кв.м., 1/1 этаж	4	250000	62	https://www.list.am/ru/item/18912582
Эребуни, 3 ком., 98 кв.м., 3/9 этаж	3	350000	98	https://www.list.am/ru/item/18796527
Эребуни, 2 ком., 52 кв.м., 8/9 этаж	2	180000	52	https://www.list.am/ru/item/18746971
Эребуни, 3 ком., 75 кв.м., 1/5 этаж	3	180000	75	https://www.list.am/ru/item/19137420
Эребуни, 2 ком., 65 кв.м., 2/5 этаж	2	350000	65	https://www.list.am/ru/item/18785664
Эребуни, 3 ком., 70 кв.м., 3/4 этаж	3	270000	70	https://www.list.am/ru/item/19111800
Эребуни, 2 ком., 48 кв.м., 3/4 этаж	2	215000	48	https://www.list.am/ru/item/19110990
Эребуни, 1 ком., 42 кв.м., 3/4 этаж	1	175000	42	https://www.list.am/ru/item/19070270
Эребуни, 2 ком., 67 кв.м., 1/5 этаж	2	190000	67	https://www.list.am/ru/item/18958947
Эребуни, 2 ком., 65 кв.м., 2/5 этаж	2	350000	65	https://www.list.am/ru/item/18785644
Эребуни, 2 ком., 65 кв.м., 2/5 этаж	2	280000	65	https://www.list.am/ru/item/19110792
Эребуни, 2 ком., 55 кв.м., 1/1 этаж	2	250000	55	https://www.list.am/ru/item/18970304
Эребуни, 3 ком., 80 кв.м., 1/1 этаж	3	200000	80	https://www.list.am/ru/item/19094439
Эребуни, 3 ком., 61 кв.м., 2/9 этаж	3	220000	61	https://www.list.am/ru/item/19005806
Эребуни, 2 ком., 84 кв.м., 2/6 этаж	2	350000	84	https://www.list.am/ru/item/19031296
Эребуни, 2 ком., 64 кв.м., 9/9 этаж	2	500000	64	https://www.list.am/ru/item/18934730
Эребуни, 3 ком., 80 кв.м., 10/15 этаж	3	850000	80	https://www.list.am/ru/item/18740848
Эребуни, 3 ком., 80 кв.м., 3/4 этаж	3	280000	80	https://www.list.am/ru/item/17488716
Эребуни, 3 ком., 74 кв.м., 4/5 этаж	3	200000	74	https://www.list.am/ru/item/18734335
Эребуни, 3 ком., 100 кв.м., 1/2 этаж	3	300000	100	https://www.list.am/ru/item/18556773
Эребуни, 1 ком., 38 кв.м., 1/5 этаж	1	250000	38	https://www.list.am/ru/item/19018827
Эребуни, 2 ком., 59 кв.м., 3/3 этаж	2	250000	59	https://www.list.am/ru/item/18991470
Эребуни, 2 ком., 70 кв.м., 2/5 этаж	2	250000	70	https://www.list.am/ru/item/18491354
Эребуни, 2 ком., 50 кв.м., 2/3 этаж	2	230000	50	https://www.list.am/ru/item/19139476
