Шенгавит, 1 ком., 30 кв.м., 1/2 этаж	1	80000	30	https://www.list.am/ru/item/19058176
Шенгавит, 2 ком., 47 кв.м., 6/10 этаж	2	150000	47	https://www.list.am/ru/item/19783739
Шенгавит, 2 ком., 36 кв.м., 3/3 этаж	2	150000	36	https://www.list.am/ru/item/19703001
Шенгавит, 2 ком., 50 кв.м., 3/5 этаж	2	230000	50	https://www.list.am/ru/item/19444889
Шенгавит, 1 ком., 33 кв.м., 5/5 этаж	1	170000	33	https://www.list.am/ru/item/19499244
Шенгавит, 3 ком., 100 кв.м., 1/3 этаж	3	370000	100	https://www.list.am/ru/item/19475560
Шенгавит, 2 ком., 55 кв.м., 3/5 этаж	2	200000	55	https://www.list.am/ru/item/19786810
Шенгавит, 4 ком., 132 кв.м., 2/4 этаж	4	300000	132	https://www.list.am/ru/item/19494195
Шенгавит, 3 ком., 90 кв.м., 4/5 этаж	3	300000	90	https://www.list.am/ru/item/19860878
Шенгавит, 3 ком., 75 кв.м., 2/5 этаж	3	250000	75	https://www.list.am/ru/item/19858101
Шенгавит, 4 ком., 156 кв.м., 5/5 этаж	4	450000	156	https://www.list.am/ru/item/19640741
Шенгавит, 2 ком., 70 кв.м., 3/5 этаж	2	200000	70	https://www.list.am/ru/item/19854053
Шенгавит, 2 ком., 35 кв.м., 4/7 этаж	2	200000	35	https://www.list.am/ru/item/19788755
Шенгавит, 3 ком., 103 кв.м., 3/4 этаж	3	310400	103	https://www.list.am/ru/item/18742368
Шенгавит, 3 ком., 86 кв.м., 3/5 этаж	3	350000	86	https://www.list.am/ru/item/19695952
Шенгавит, 3 ком., 60 кв.м., 4/4 этаж	3	500000	60	https://www.list.am/ru/item/18529832
Шенгавит, 3 ком., 100 кв.м., 1/1 этаж	3	50000	100	https://www.list.am/ru/item/19844705
Шенгавит, 3 ком., 78 кв.м., 3/5 этаж	3	200000	78	https://www.list.am/ru/item/19771427
Шенгавит, 2 ком., 41 кв.м., 3/4 этаж	2	250000	41	https://www.list.am/ru/item/19572109
Шенгавит, 2 ком., 60 кв.м., 5/5 этаж	2	50000	60	https://www.list.am/ru/item/19756570
Шенгавит, 2 ком., 60 кв.м., 5/5 этаж	2	260000	60	https://www.list.am/ru/item/19565482
Шенгавит, 5 ком., 140 кв.м., 1/1 этаж	5	450000	140	https://www.list.am/ru/item/19827935
Шенгавит, 1 ком., 30 кв.м., 1/1 этаж	1	70000	30	https://www.list.am/ru/item/19767309
Шенгавит, 1 ком., 30 кв.м., 2/2 этаж	1	190000	30	https://www.list.am/ru/item/19293675
Шенгавит, 1 ком., 30 кв.м., 2/2 этаж	1	190000	30	https://www.list.am/ru/item/19265782
Шенгавит, 1 ком., 16 кв.м., 1/8 этаж	1	100000	16	https://www.list.am/ru/item/19652397
Шенгавит, 3 ком., 80 кв.м., 2/5 этаж	3	200000	80	https://www.list.am/ru/item/19814452
Шенгавит, 3 ком., 68 кв.м., 4/10 этаж	3	200000	68	https://www.list.am/ru/item/19806618
Шенгавит, 2 ком., 50 кв.м., 5/6 этаж	2	230000	50	https://www.list.am/ru/item/19693272
Шенгавит, 3 ком., 70 кв.м., 2/4 этаж	3	250000	70	https://www.list.am/ru/item/19502316
Шенгавит, 1 ком., 36 кв.м., 3/5 этаж	1	250000	36	https://www.list.am/ru/item/19248303
Шенгавит, 2 ком., 55 кв.м., 5/5 этаж	2	190000	55	https://www.list.am/ru/item/18122420
Шенгавит, 2 ком., 57 кв.м., 3/5 этаж	2	230000	57	https://www.list.am/ru/item/19381847
Шенгавит, 3 ком., 78 кв.м., 6/9 этаж	3	200000	78	https://www.list.am/ru/item/19782992
Шенгавит, 2 ком., 72 кв.м., 2/5 этаж	2	250000	72	https://www.list.am/ru/item/19707833
Шенгавит, 2 ком., 50 кв.м., 7/10 этаж	2	200000	50	https://www.list.am/ru/item/19324904
Шенгавит, 2 ком., 60 кв.м., 2/5 этаж	2	220000	60	https://www.list.am/ru/item/19590956
Шенгавит, 2 ком., 56 кв.м., 3/5 этаж	2	250000	56	https://www.list.am/ru/item/19769837
Шенгавит, 2 ком., 55 кв.м., 3/5 этаж	2	350000	55	https://www.list.am/ru/item/18804784
Шенгавит, 2 ком., 84 кв.м., 1/4 этаж	2	40000	84	https://www.list.am/ru/item/19761341
