Аван, 3 ком., 80 кв.м., 4/9 этаж	3	80000	80	https://www.list.am/ru/item/20147061
Аван, 3 ком., 96 кв.м., 7/9 этаж	3	330000	96	https://www.list.am/ru/item/19536876
Аван, 1 ком., 30 кв.м., 1/14 этаж	1	150000	30	https://www.list.am/ru/item/20136699
Аван, 3 ком., 63 кв.м., 8/9 этаж	3	270000	63	https://www.list.am/ru/item/20180009
Аван, 2 ком., 81 кв.м., 4/14 этаж	2	550000	81	https://www.list.am/ru/item/20207901
Аван, 2 ком., 64 кв.м., 7/9 этаж	2	220000	64	https://www.list.am/ru/item/20207628
Аван, 2 ком., 73 кв.м., 13/14 этаж	2	300000	73	https://www.list.am/ru/item/20207349
Аван, 2 ком., 62 кв.м., 5/14 этаж	2	250000	62	https://www.list.am/ru/item/20206305
Аван, 2 ком., 60 кв.м., 2/2 этаж	2	480000	60	https://www.list.am/ru/item/20206049
Аван, 2 ком., 57 кв.м., 3/9 этаж	2	250000	57	https://www.list.am/ru/item/20205399
Аван, 2 ком., 72 кв.м., 14/14 этаж	2	300000	72	https://www.list.am/ru/item/20088586
Аван, 3 ком., 102 кв.м., 12/14 этаж	3	430000	102	https://www.list.am/ru/item/19038904
Аван, 3 ком., 80 кв.м., 7/14 этаж	3	320000	80	https://www.list.am/ru/item/20018820
Аван, 2 ком., 65 кв.м., 5/5 этаж	2	350000	65	https://www.list.am/ru/item/19599794
Аван, 3 ком., 70 кв.м., 3/3 этаж	3	350000	70	https://www.list.am/ru/item/19042937
Аван, 3 ком., 84 кв.м., 3/9 этаж	3	420000	84	https://www.list.am/ru/item/19304835
Аван, 2 ком., 60 кв.м., 2/2 этаж	2	465600	60	https://www.list.am/ru/item/20202367
Аван, 3 ком., 100 кв.м., 6/6 этаж	3	465600	100	https://www.list.am/ru/item/19439977
Аван, 3 ком., 85 кв.м., 3/8 этаж	3	485000	85	https://www.list.am/ru/item/20010771
Аван, 3 ком., 68 кв.м., 8/9 этаж	3	310400	68	https://www.list.am/ru/item/20157217
Аван, 2 ком., 64 кв.м., 5/9 этаж	2	230000	64	https://www.list.am/ru/item/20109727
Аван, 1 ком., 40 кв.м., 2/5 этаж	1	250000	40	https://www.list.am/ru/item/20177644
Аван, 3 ком., 100 кв.м., 8/9 этаж	3	385200	100	https://www.list.am/ru/item/19904018
Аван, 3 ком., 80 кв.м., 3/5 этаж	3	250000	80	https://www.list.am/ru/item/20186771
Аван, 2 ком., 56 кв.м., 2/9 этаж	2	270000	56	https://www.list.am/ru/item/20005376
Аван, 3 ком., 84 кв.м., 6/9 этаж	3	280000	84	https://www.list.am/ru/item/20177554
Аван, 1 ком., 38 кв.м., 8/10 этаж	1	300000	38	https://www.list.am/ru/item/20178698
Аван, 1 ком., 15 кв.м., 1/9 этаж	1	150000	15	https://www.list.am/ru/item/20198475
Аван, 3 ком., 100 кв.м., 8/9 этаж	3	385200	100	https://www.list.am/ru/item/19568182
Аван, 3 ком., 75 кв.м., 3/9 этаж	3	180000	75	https://www.list.am/ru/item/20197619
Аван, 3 ком., 62 кв.м., 8/9 этаж	3	270000	62	https://www.list.am/ru/item/20122448
Аван, 3 ком., 75 кв.м., 3/3 этаж	3	180000	75	https://www.list.am/ru/item/20197563
Аван, 2 ком., 53 кв.м., 9/9 этаж	2	240000	53	https://www.list.am/ru/item/20022558
Аван, 4 ком., 117 кв.м., 1/2 этаж	4	400000	117	https://www.list.am/ru/item/20130947
Аван, 3 ком., 110 кв.м., 9/14 этаж	3	620800	110	https://www.list.am/ru/item/18687099
Аван, 3 ком., 88 кв.м., 11/14 этаж	3	350000	88	https://www.list.am/ru/item/20196361
Аван, 2 ком., 62 кв.м., 5/9 этаж	2	280000	62	https://www.list.am/ru/item/20087342
Аван, 3 ком., 82 кв.м., 3/9 этаж	3	280000	82	https://www.list.am/ru/item/20195350
Аван, 4 ком., 152 кв.м., 2/9 этаж	4	570000	152	https://www.list.am/ru/item/19411494
Аван, 2 ком., 60 кв.м., 9/9 этаж	2	270000	60	https://www.list.am/ru/item/20194083
Аван, 3 ком., 77 кв.м., 3/4 этаж	3	800000	77	https://www.list.am/ru/item/18971743
Аван, 2 ком., 65 кв.м., 3/14 этаж	2	300000	65	https://www.list.am/ru/item/20017695
Аван, 2 ком., 61 кв.м., 9/9 этаж	2	750000	61	https://www.list.am/ru/item/18363600
Аван, 2 ком., 59 кв.м., 4/4 этаж	2	360000	59	https://www.list.am/ru/item/18547054
Аван, 3 ком., 85 кв.м., 3/8 этаж	3	504400	85	https://www.list.am/ru/item/20107755
Аван, 4 ком., 88 кв.м., 9/9 этаж	4	70000	88	https://www.list.am/ru/item/19896981
Аван, 3 ком., 109 кв.м., 8/14 этаж	3	390000	109	https://www.list.am/ru/item/20154233
Аван, 3 ком., 87 кв.м., 4/16 этаж	3	400000	87	https://www.list.am/ru/item/20163516
Аван, 5 ком., 480 кв.м., 2/2 этаж	5	1823600	480	https://www.list.am/ru/item/19578212
Аван, 2 ком., 72 кв.м., 9/12 этаж	2	500000	72	https://www.list.am/ru/item/19944167
Аван, 1 ком., 35 кв.м., 1/1 этаж	1	250000	35	https://www.list.am/ru/item/18601846
Аван, 3 ком., 90 кв.м., 6/9 этаж	3	50000	90	https://www.list.am/ru/item/20104456
Аван, 3 ком., 100 кв.м., 7/9 этаж	3	420000	100	https://www.list.am/ru/item/19773925
Аван, 4 ком., 125 кв.м., 2/3 этаж	4	260000	125	https://www.list.am/ru/item/19948594
Аван, 2 ком., 60 кв.м., 12/14 этаж	2	310400	60	https://www.list.am/ru/item/20026051
Аван, 2 ком., 87 кв.м., 4/24 этаж	2	240000	87	https://www.list.am/ru/item/19709239
Аван, 2 ком., 30 кв.м., 1/2 этаж	2	200000	30	https://www.list.am/ru/item/19283044
Аван, 2 ком., 60 кв.м., 3/9 этаж	2	220000	60	https://www.list.am/ru/item/20163587
Аван, 2 ком., 66 кв.м., 4/9 этаж	2	270000	66	https://www.list.am/ru/item/19933126
Аван, 4 ком., 105 кв.м., 4/9 этаж	4	400000	105	https://www.list.am/ru/item/20113088
Аван, 1 ком., 50 кв.м., 2/3 этаж	1	200000	50	https://www.list.am/ru/item/19949736
Аван, 2 ком., 86 кв.м., 9/14 этаж	2	350000	86	https://www.list.am/ru/item/19432542
Аван, 4 ком., 98 кв.м., 16/16 этаж	4	350000	98	https://www.list.am/ru/item/20127020
Аван, 2 ком., 50 кв.м., 4/5 этаж	2	400000	50	https://www.list.am/ru/item/19832111
Аван, 2 ком., 86 кв.м., 7/14 этаж	2	320000	86	https://www.list.am/ru/item/19436171
Аван, 3 ком., 95 кв.м., 10/14 этаж	3	388000	95	https://www.list.am/ru/item/19989433
Аван, 2 ком., 55 кв.м., 2/2 этаж	2	230000	55	https://www.list.am/ru/item/17638228
Аван, 2 ком., 47 кв.м., 8/14 этаж	2	230000	47	https://www.list.am/ru/item/20143066
Аван, 4 ком., 1200 кв.м., 3/3 этаж	4	1940000	1200	https://www.list.am/ru/item/19178495
Аван, 2 ком., 81 кв.м., 9/14 этаж	2	350000	81	https://www.list.am/ru/item/19758269
Аван, 2 ком., 68 кв.м., 8/9 этаж	2	150000	68	https://www.list.am/ru/item/19636110
Аван, 2 ком., 68 кв.м., 6/9 этаж	2	270000	68	https://www.list.am/ru/item/20123744
Аван, 3 ком., 81 кв.м., 2/9 этаж	3	300000	81	https://www.list.am/ru/item/20115881
Аван, 1 ком., 36 кв.м., 9/9 этаж	1	180000	36	https://www.list.am/ru/item/19407133
Аван, 4 ком., 110 кв.м., 13/13 этаж	4	380000	110	https://www.list.am/ru/item/20100697
Аван, 3 ком., 108 кв.м., 6/14 этаж	3	550000	108	https://www.list.am/ru/item/19025490
Аван, 3 ком., 105 кв.м., 9/16 этаж	3	500000	105	https://www.list.am/ru/item/20041617
Аван, 2 ком., 70 кв.м., 9/9 этаж	2	400000	70	https://www.list.am/ru/item/19549905
Аван, 2 ком., 58 кв.м., 4/5 этаж	2	250000	58	https://www.list.am/ru/item/20050638
Аван, 3 ком., 85 кв.м., 3/4 этаж	3	300000	85	https://www.list.am/ru/item/19866623
Аван, 3 ком., 240 кв.м., 2/2 этаж	3	350000	240	https://www.list.am/ru/item/18450893
Аван, 3 ком., 78 кв.м., 9/9 этаж	3	450000	78	https://www.list.am/ru/item/20036780
Аван, 3 ком., 83 кв.м., 4/5 этаж	3	390000	83	https://www.list.am/ru/item/19989763
Аван, 4 ком., 120 кв.м., 8/13 этаж	4	450000	120	https://www.list.am/ru/item/19718093
Аван, 2 ком., 55 кв.м., 2/9 этаж	2	230000	55	https://www.list.am/ru/item/19719397
